testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
43 8388608 65536 1024 14313 71540 128 1 1 1.00 1 5100273664 67108864 8388608 39845888.00 41943040 0 0 0 0.00 0 608 8 1 4.75 5 0 0 0 0.00 0 2 1 1.17 1 16777216 8388608 9808218.58 8388608 0 0 0 0.00 0
44 8388608 65536 1024 15012 68209 128 1 1 1.00 1 4831838208 67108864 8388608 37748736.00 41943040 0 0 0 0.00 0 576 8 1 4.50 5 0 0 0 0.00 0 2 1 1.20 1 16777216 8388608 10066329.60 8388608 0 0 0 0.00 0
45 8388608 65536 1024 16065 63737 128 1 1 1.00 1 3758096384 58720256 8388608 29360128.00 33554432 0 0 0 0.00 0 448 7 0 3.50 4 0 0 0 0.00 0 2 1 1.27 1 16777216 8388608 10676410.18 8388608 0 0 0 0.00 0
46 8388608 65536 1024 5802 176463 128 1 1 1.00 1 3623878656 33554432 25165824 28311552.00 25165824 0 0 0 0.00 0 432 4 3 3.38 3 0 0 0 0.00 0 2 1 1.12 1 16777216 8388608 9437184.00 8388608 0 0 0 0.00 0
47 8388608 65536 1024 4703 217714 128 1 1 1.00 1 1879048192 16777216 8388608 14680064.00 16777216 0 0 0 0.00 0 224 2 1 1.75 2 0 0 0 0.00 0 1 1 1.00 1 8388608 8388608 8388608.00 8388608 0 0 0 0.00 0
48 8388608 65536 1024 4704 217677 128 1 1 1.00 1 2684354560 25165824 16777216 20971520.00 25165824 0 0 0 0.00 0 320 3 2 2.50 3 0 0 0 0.00 0 1 1 1.00 1 8388608 8388608 8388608.00 8388608 0 0 0 0.00 0
49 8388608 65536 2048 18580 110226 256 1 1 1.00 1 10468982784 75497472 8388608 40894464.00 41943040 0 0 0 0.00 0 1248 9 1 4.88 5 0 0 0 0.00 0 2 1 1.81 2 16777216 8388608 15216544.74 16777216 0 0 0 0.00 0
50 8388608 65536 2048 18078 113284 256 1 1 1.00 1 10200547328 75497472 8388608 39845888.00 41943040 0 0 0 0.00 0 1216 9 1 4.75 5 0 0 0 0.00 0 2 1 1.81 2 16777216 8388608 15179385.90 16777216 0 0 0 0.00 0
51 8388608 65536 2048 19313 106042 256 1 1 1.00 1 9663676416 75497472 8388608 37748736.00 33554432 0 0 0 0.00 0 1152 9 1 4.50 4 0 0 0 0.00 0 2 1 1.80 2 16777216 8388608 15099494.40 16777216 0 0 0 0.00 0
52 8388608 65536 2048 43302 47294 256 1 1 1.00 1 8589934592 67108864 8388608 33554432.00 33554432 0 0 0 0.00 0 1024 8 0 4.00 4 0 0 0 0.00 0 6 1 2.67 2 50331648 8388608 22369621.33 16777216 0 0 0 0.00 0
53 8388608 65536 2048 44378 46148 256 1 1 1.00 1 8589934592 67108864 8388608 33554432.00 33554432 0 0 0 0.00 0 1024 8 0 4.00 4 0 0 0 0.00 0 6 1 2.67 2 50331648 8388608 22369621.33 16777216 0 0 0 0.00 0
54 8388608 65536 2048 42848 47796 256 1 1 1.00 1 8589934592 67108864 8388608 33554432.00 33554432 0 0 0 0.00 0 1024 8 0 4.00 4 0 0 0 0.00 0 6 1 2.67 2 50331648 8388608 22369621.33 16777216 0 0 0 0.00 0
55 8388608 65536 2048 25299 80950 256 1 1 1.00 1 9663676416 67108864 8388608 37748736.00 41943040 0 0 0 0.00 0 1152 8 1 4.50 5 0 0 0 0.00 0 3 1 1.50 1 25165824 8388608 12582912.00 8388608 0 0 0 0.00 0
