testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
52 8388608 65536 2048 27755 73788 392 3 1 1.53 1 5813305120 67108864 4194304 14829860.00 20971520 121472 896 42 309.88 256 1830 8 1 4.67 5 121472 1728 42 407.62 341 3 1 1.83 2 25165824 2752512 10128529.70 8388608 154265 1856 42 459.12 384
53 8388608 65536 2048 28815 71074 398 4 1 1.55 1 5969892558 67108864 2796202 14999730.05 20971520 123864 896 43 311.22 256 1881 8 1 4.73 5 123864 1898 32 402.16 320 3 1 1.84 2 25165824 2097152 10014668.05 8388608 156657 2026 32 459.40 342
54 8388608 65536 2048 35198 58185 393 5 1 1.54 1 5954793008 67108864 2796202 15152145.06 20971520 123634 896 42 314.59 256 1835 8 1 4.67 5 123634 1899 42 404.03 320 3 1 1.80 1 25165824 1638400 10039139.54 8388608 156402 2027 42 455.98 384
55 8388608 65536 2048 24753 82737 600 6 1 2.34 2 10918890798 58720256 2097152 18198151.33 16777212 133846 768 32 223.08 192 3021 8 1 5.03 5 133846 1099 21 328.86 278 3 1 2.02 2 25165824 1376256 7303822.81 7012352 166614 1227 21 388.38 350
56 8388608 65536 2048 27586 74240 550 6 1 2.15 2 10305124515 58720256 2097152 18736590.03 16777212 124472 768 32 226.31 192 2656 8 1 4.83 5 124472 1558 22 371.56 299 3 1 2.09 2 25165824 1441792 8114079.24 8388608 157265 1686 22 435.64 371
57 8388608 65536 2048 25723 79617 568 5 1 2.22 2 10382020130 58720256 1677721 18278204.45 16777212 125650 768 32 221.21 192 2680 8 1 4.72 5 125650 1428 25 356.96 298 3 1 2.00 2 20971520 1638400 7765207.22 8388608 158443 1556 25 432.90 363
58 8388608 65536 2048 19658 104181 566 5 1 2.21 2 10915535794 67108864 4194304 19285398.93 16777216 133788 896 32 236.37 210 2845 9 1 5.03 5 133788 726 32 268.11 256 2 1 1.54 2 16777216 1638400 5913008.68 5570560 166581 789 32 330.52 330
59 8388608 65536 2048 18400 111304 541 5 1 2.11 2 6377578610 67108864 2097152 11788500.20 16777216 130072 896 26 240.43 215 2615 8 1 4.83 5 130072 768 26 290.99 289 2 1 1.49 1 16777216 1638400 6087782.22 5570560 162865 896 26 358.73 363
60 8388608 65536 2048 21297 96163 550 5 1 2.15 2 5729978162 58720256 2097152 10418142.11 16777216 120184 768 25 218.52 192 2495 8 1 4.54 5 120184 1045 25 301.97 234 2 1 1.59 2 16777216 1638400 6380561.60 6291456 152977 1173 25 382.44 345
61 8388608 65536 2048 14811 138275 643 6 1 2.51 2 2403335804 41943040 2796202 3737691.76 12582912 69414 512 22 107.95 128 2024 6 2 3.15 3 69414 299 25 135.57 128 2 1 1.50 1 16777216 1376256 4960444.11 4194304 102207 427 32 199.23 192
62 8388608 65536 2048 14150 144734 328 3 1 1.28 1 -850045618 41943040 8388606 -2591602.49 25165824 85332 512 86 260.16 256 1199 6 3 3.66 4 85332 384 64 172.39 192 1 1 1.00 1 8388608 2752512 6455214.01 8388608 118125 512 64 236.25 256
63 8388608 65536 2048 7216 283813 384 2 1 1.50 2 3338665984 20971520 4194304 8694442.67 8388608 18176 256 128 47.33 128 668 5 1 1.74 1 18201 128 64 64.09 64 1 1 1.00 1 8388608 4194304 4998002.97 4194304 50969 256 64 116.90 128
64 8388608 65536 512 24538 20865 81 3 1 1.27 1 2250943140 50331648 4194304 27789421.48 25165824 26154 640 43 322.89 256 335 6 1 4.14 4 26154 853 43 300.62 256 3 1 1.67 1 25165824 2818048 11198504.76 8388608 34346 981 43 343.46 256
65 8388608 65536 512 22513 22742 84 2 1 1.31 1 2206203904 50331648 4194304 26264332.19 25165824 25472 640 64 303.24 256 343 6 1 4.08 4 25497 1024 64 299.96 256 3 1 1.66 1 25165824 4194304 10657989.87 8388608 33689 1152 64 333.55 256
