testid msgsize chunksize datasize time bandwidth numpaths/job maxpath/job minpath/job avgpath/job medpath/job totalhopbytes maxhopbytes minhopbytes avghopbytes medhopbytes totalcopies maxcopies/path mincopies/paths avgcopies/paths medcopies/path totalhops maxhops/path minhop/path avghops/path medhop/path totalcopies/node maxopies/node mincopies/node avgcopies/node medcopies/node maxloadpath minloadpath avgloadpath medloadpath maxloadlink minloadlink avgloadlink medloadlink totalrput maxrputs minrput avgrput medrput
52 8388608 65536 16384 80571 203348 9514 21 1 4.65 3 143795969009 125829120 399457 15114144.31 8388604 1931948 1792 6 203.06 110 74698 16 1 7.85 7 1931948 3715 6 785.98 565 16 1 6.96 5 88997888 393216 13398435.83 8388608 2194092 3843 6 869.64 649
53 8388608 65536 16384 76189 215044 9345 22 1 4.56 3 143930530653 125829120 419430 15401875.94 8388603 1934044 1792 7 206.96 108 74152 16 1 7.93 7 1934044 3650 6 796.56 594 16 1 6.85 5 73007104 393216 13299804.74 8388608 2196213 3778 6 882.72 685
54 8388608 65536 16384 77144 212382 9370 22 1 4.58 3 143710870669 125829120 399457 15337339.45 8388603 1930660 1792 7 206.05 108 73108 16 1 7.80 7 1930660 3178 7 818.42 607 16 1 6.94 5 82771968 393216 13639381.43 8388608 2192804 3306 7 906.87 701
55 8388608 65536 16384 52596 311506 15606 30 1 7.62 7 148804000534 125829120 310689 9535050.66 6100800 2008372 1792 5 128.69 81 124979 16 1 8.01 8 2008372 2549 4 635.16 555 16 1 7.69 7 54132736 262144 9160338.38 7274496 2270516 2677 4 705.13 629
56 8388608 65536 16384 70110 233689 12407 30 1 6.06 5 143198284257 125829120 279620 11541733.24 6524469 1922786 1792 6 154.98 88 94869 16 1 7.65 7 1922786 2914 4 791.60 677 16 1 7.66 6 67174400 262144 11569010.35 8388608 2184930 3042 4 881.38 786
57 8388608 65536 16384 59175 276873 12657 31 1 6.18 5 143416484870 125829120 270600 11331001.41 6524469 1926102 1792 6 152.18 88 94976 16 1 7.50 7 1926102 2695 4 789.71 773 16 1 7.73 6 58916864 262144 11673495.31 8519680 2188246 2823 4 882.71 883
58 8388608 65536 16384 48275 339388 20997 36 1 10.25 10 152439346626 125829120 364722 7260053.66 4473920 2063674 1792 4 98.28 60 165311 17 1 7.87 7 2063674 2118 4 510.68 456 16 1 7.29 6 46268416 196608 6723338.56 4980736 2325818 2246 6 574.28 522
59 8388608 65536 16384 61163 267874 18554 34 1 9.06 8 148454725129 117440512 254200 8001224.81 4718592 2002896 1664 4 107.95 63 141373 16 1 7.62 7 2002896 2381 5 609.90 555 16 1 7.64 6 66322432 196608 8021272.10 5963776 2265040 2509 5 683.27 637
60 8388608 65536 16384 70209 233360 14834 38 1 7.24 5 142703726276 134217728 220752 9620043.57 4893350 1915092 1920 4 129.10 63 105361 16 1 7.10 7 1915092 3332 4 728.73 650 16 1 7.45 6 72482816 196608 10093823.57 7274496 2177236 3460 4 826.59 773
61 8388608 65536 16384 8690 1885385 36696 32 4 17.92 17 70851385951 8388608 524288 1930765.91 1677720 813798 96 4 22.18 18 151645 6 2 4.13 4 813798 457 66 198.68 197 16 1 5.49 4 13107200 262144 2553336.29 1572864 1075942 482 66 262.68 290
62 8388608 65536 16384 11386 1438960 41383 34 2 20.21 20 73633401751 16777216 740169 1779315.22 1747625 856662 192 8 20.70 20 179079 6 3 4.33 4 856662 368 65 209.15 208 16 1 7.47 7 13631488 196608 3057251.80 2686976 1118806 485 65 273.15 277
63 8388608 65536 16384 8140 2012776 45160 39 2 22.05 22 70399872943 12582912 215092 1558898.87 1497965 801502 128 6 17.75 16 187168 5 1 4.14 5 801502 539 30 195.68 189 16 1 5.85 4 9895936 196608 2178142.81 1638400 1063672 667 30 259.62 261
64 8388608 65536 4096 70434 58153 1973 26 1 3.85 2 33677794589 117440512 559240 17069333.29 8388604 448322 1664 6 227.23 105 13623 14 1 6.90 7 448322 2849 5 531.19 256 16 1 5.40 3 85786624 327680 13347680.49 8388608 513858 2977 5 569.69 284
65 8388608 65536 4096 73782 55514 1930 20 1 3.77 2 33486062707 109051904 559240 17350291.56 8388604 445388 1536 8 230.77 105 13498 14 1 6.99 7 445388 3092 7 511.94 256 16 1 5.22 3 80281600 393216 12953158.71 8388608 510924 3220 7 563.31 332
66 8388608 65536 4096 62510 65525 2005 19 1 3.92 2 33516550788 117440512 493447 16716484.18 7190232 445870 1664 8 222.38 96 13965 14 1 6.97 7 445870 2923 7 522.10 293 16 1 5.38 3 76087296 393216 12910188.08 8388608 511406 3051 7 578.51 352
67 8388608 65536 4096 57936 70698 2491 22 1 4.87 3 33527910940 100663296 419430 13459619.00 6524469 446042 1408 6 179.06 84 17406 14 1 6.99 7 446042 2519 7 458.42 248 16 1 5.72 4 69730304 393216 11024918.06 6356992 511578 2647 7 513.12 295
68 8388608 65536 4096 60920 67235 2532 21 1 4.95 3 33441207999 109051904 441505 13207428.12 5991860 444722 1536 6 175.64 77 17201 14 1 6.79 6 444722 2307 6 471.10 245 16 1 5.68 3 65470464 393216 11050764.35 6356992 510258 2435 6 528.76 300
69 8388608 65536 4096 62846 65175 2419 26 1 4.72 3 33446620853 109051904 322638 13826631.19 6291456 444792 1536 6 183.87 84 16723 14 1 6.91 7 444817 2745 5 464.80 248 16 1 5.56 3 62521344 262144 11114940.45 6553600 510328 2873 5 521.81 297
70 8388608 65536 4096 43510 94139 3757 35 1 7.34 6 33211811178 117440512 239674 8839981.68 5033160 441160 1664 4 117.42 65 25475 14 1 6.78 6 441185 1833 4 372.94 183 16 1 6.10 4 50200576 196608 7949923.16 4194304 506722 1961 4 427.25 202
71 8388608 65536 4096 49508 82734 3839 31 1 7.50 6 33401946961 100663296 270600 8700689.49 5033160 444050 1408 4 115.67 65 26089 14 1 6.80 6 444076 2113 4 375.06 170 16 1 6.21 4 58589184 262144 7951482.88 4194304 509612 2241 4 427.53 187
72 8388608 65536 4096 55633 73625 3856 34 1 7.53 6 33471439904 109051904 246723 8680352.67 4893350 445130 1536 5 115.44 64 26626 14 1 6.91 7 445156 1892 4 363.10 161 16 1 6.11 4 49872896 196608 7684731.80 4194304 510692 2020 4 414.52 185
73 8388608 65536 8192 75361 108703 3351 19 1 3.27 1 69360211620 125829120 559240 20698362.17 9586976 927242 1792 8 276.71 126 24271 15 1 7.24 7 927268 4457 7 719.93 419 16 1 5.42 3 85393408 393216 15495457.17 8388608 1058340 4585 7 758.67 455
74 8388608 65536 8192 85819 95456 3353 20 1 3.27 1 69401388038 125829120 559240 20698296.46 9586976 927882 1792 7 276.73 126 24480 15 1 7.30 7 927908 3788 6 677.31 406 16 1 5.23 3 84934656 393216 14835316.23 8388608 1058980 3916 6 739.00 465
75 8388608 65536 8192 79328 103267 3505 20 1 3.42 1 69550184537 117440512 493447 19843133.96 9320670 930156 1664 8 265.38 126 25573 15 1 7.30 7 930182 4539 6 688.51 419 16 1 5.36 3 97124352 393216 14591674.28 8388608 1061254 4667 6 736.47 487
76 8388608 65536 8192 70413 116342 4584 19 1 4.48 3 69151118309 125829120 441505 15085322.49 8388604 924050 1792 7 201.58 108 33734 15 1 7.36 7 924076 2990 7 621.85 360 16 1 6.15 4 81461248 393216 12604534.34 8323072 1055122 3118 7 688.72 449
77 8388608 65536 8192 81948 99965 4563 27 1 4.46 3 69221363789 117440512 310689 15170143.28 7626000 925110 1664 6 202.74 100 33623 15 1 7.37 7 925136 2810 5 645.59 448 16 1 6.16 4 71565312 262144 12677279.04 8388608 1056182 2938 5 720.94 533
78 8388608 65536 8192 73597 111308 4502 24 1 4.40 3 69342416605 109051904 466033 15402580.32 7456536 926988 1536 7 205.91 100 32881 15 1 7.30 7 927014 2953 5 659.80 401 16 1 6.20 4 80674816 327680 13071392.43 8388608 1058060 3081 5 723.71 470
79 8388608 65536 8192 53630 152750 7008 34 1 6.84 5 68550584267 109051904 246723 9781761.45 5592400 914840 1536 5 130.54 72 50005 15 1 7.14 7 914865 2408 4 561.27 350 16 1 7.16 5 61276160 196608 9817249.62 6160384 1045912 2536 4 634.66 437
80 8388608 65536 8192 51688 158489 7135 31 1 6.97 6 69091605896 117440512 270600 9683476.65 5592402 923056 1664 5 129.37 72 51055 15 1 7.16 7 923081 2486 4 551.42 410 16 1 7.05 5 54722560 262144 9533995.67 6553600 1054128 2614 4 625.97 489
81 8388608 65536 8192 61233 133784 6432 28 1 6.28 5 68399832831 117440512 364722 10634302.37 5338200 912484 1664 5 141.87 70 44004 15 1 6.84 6 912509 2557 5 758.53 774 16 1 7.96 7 59637760 327680 12367176.49 9109504 1043556 2685 5 859.60 895
82 8388608 65536 16384 120652 135795 5504 21 1 2.69 1 143251615945 134217728 524288 26026819.76 11744047 1923676 1920 7 349.51 156 39228 16 1 7.13 7 1923676 5740 6 1117.12 512 16 1 5.55 3 109051904 393216 20278382.17 8388608 2185820 5868 8 954.09 352
83 8388608 65536 16384 114780 142742 5955 20 1 2.91 1 143599009405 134217728 559240 24114023.41 10066326 1928992 1920 7 323.93 132 43993 16 1 7.39 7 1928992 5334 6 957.32 477 16 1 5.83 4 108593152 393216 19039815.55 9306112 2191136 5462 6 903.19 427
84 8388608 65536 16384 103721 157962 6215 22 1 3.03 1 143828566506 125829120 559240 23142166.77 11184808 1932468 1792 8 310.94 150 47671 16 1 7.67 7 1932468 4624 5 895.91 534 16 1 5.73 4 96468992 327680 17292599.87 9699328 2194612 4752 5 926.39 566
85 8388608 65536 16384 76418 214399 9246 24 1 4.51 3 143726135130 125829120 399457 15544682.58 8388604 1930876 1792 7 208.83 110 71775 16 1 7.76 7 1930876 3595 7 829.41 545 16 1 6.93 5 85131264 327680 13872706.03 8388608 2193020 3723 7 899.15 599
86 8388608 65536 16384 96830 169203 9210 21 1 4.50 3 143892421070 125829120 466033 15623498.49 8388603 1933438 1792 7 209.93 108 72700 16 1 7.89 7 1933438 3756 6 810.67 550 16 1 6.85 5 83099648 393216 13555856.71 8388608 2195582 3884 6 891.79 633
87 8388608 65536 16384 74699 219333 9475 26 1 4.63 3 143659983973 117440512 322638 15162003.59 8388600 1929868 1664 6 203.68 108 73589 16 1 7.77 7 1929868 3234 5 819.48 625 16 1 6.87 5 84410368 327680 13419495.42 8388608 2192012 3362 5 906.54 715
88 8388608 65536 16384 79783 205357 12399 24 1 6.05 5 143064053819 125829120 349525 11538354.21 6452770 1920716 1792 6 154.91 84 94984 16 1 7.66 7 1920716 3048 5 778.25 643 16 1 7.62 6 67502080 327680 11480170.58 8388608 2182860 3176 5 870.36 760
89 8388608 65536 16384 59310 276243 12410 25 1 6.06 4 143431761564 125829120 349525 11557756.77 6291456 1926366 1792 5 155.23 84 95633 16 1 7.71 7 1926366 3088 5 785.31 605 16 1 7.76 7 78839808 327680 11640376.56 8388608 2188536 3216 5 875.06 707
90 8388608 65536 16384 56792 288491 12747 30 1 6.22 5 143564447620 125829120 279620 11262606.70 6524469 1928314 1792 6 151.28 84 95834 16 1 7.52 7 1928314 2368 4 787.71 750 16 1 7.70 7 54657024 262144 11531293.20 8454144 2190458 2496 4 884.32 861
