O  46 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 23588.0000 86823.8087   784 6 2 3.00 3  2783 5 3 3.55 3  41883 184 1 76.15 75  6 1 1.79 2  7471104 131072 4912416.62 5767168  58267 248 1 105.75 103  
O  47 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 10115.0000 202471.5769   715 5 2 2.00 3  2068 4 1 2.89 3  28053 115 2 41.38 38  4 1 1.29 1  5373952 131072 3645065.54 3407872  44437 179 2 63.03 40  
O  48 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  2048 12715.0000 161069.6028   906 6 2 3.00 4  3020 5 2 3.33 3  37645 121 1 58.36 57  5 1 1.62 1  5636096 131072 3787272.49 4980736  54029 185 1 83.64 70  
O  49 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 41000.0000 99902.4390  1219 5 1 2.00 2  7310 11 1 6.00 6  161404 512 1 166.22 150  8 1 1.98 1  13107200 131072 6891554.94 6553600  194197 640 1 199.79 164  
O  50 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 47338.0000 86526.6805  1144 5 1 2.00 2  6755 11 1 5.90 6  157276 564 1 165.21 150  8 1 1.97 1  13893632 131072 7289858.70 7077888  190069 692 1 199.44 160  
O  51 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 52674.0000 77761.3244   705 4 1 1.00 1  3979 11 1 5.64 6  147684 653 1 180.32 128  7 1 1.62 1  17039360 131072 9614717.29 8388608  180477 781 1 219.29 167  
O  52 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 54174.0000 75608.2253   974 5 1 1.00 2  5207 10 1 5.35 5  141978 896 1 274.09 232  9 1 2.68 2  21495808 131072 11806344.18 8912896  174746 960 11 310.38 256  
O  53 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 58466.0000 70057.8114   965 4 1 1.00 2  5137 10 1 5.32 5  141214 972 3 282.43 246  11 1 2.71 2  22020096 131072 12021174.86 9175040  173982 1036 30 311.80 266  
O  54 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 54259.0000 75489.7805   957 4 1 1.00 2  5091 10 1 5.32 5  141396 994 2 281.11 234  9 1 2.65 2  21757952 131072 11908202.30 8912896  174164 1058 2 314.38 257  
O  55 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 42222.0000 97011.0369  1215 6 1 2.00 2  6904 10 2 5.68 6  153326 569 4 216.56 215  9 1 2.51 2  15073280 131072 8856831.07 8388608  186119 633 9 245.22 237  
O  56 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 53212.0000 76975.1184  1106 5 1 2.00 2  5843 10 1 5.28 5  141388 945 4 277.23 267  9 1 2.76 2  17694720 131072 10787795.48 9306112  174181 1009 4 308.83 302  
O  57 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 44982.0000 91058.6457  1075 5 1 2.00 2  5719 10 1 5.32 5  141286 861 1 273.81 260  11 1 2.74 2  17825792 131072 10941777.40 9830400  174079 925 1 309.20 305  
O  58 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 39894.0000 102672.0810  1390 7 1 2.00 3  8231 11 2 5.92 6  158866 437 1 169.91 164  9 1 2.21 2  11534336 131072 6750296.06 7208960  191659 501 1 200.48 196  
O  59 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 36776.0000 111376.9850  1335 6 1 2.00 3  7602 10 1 5.69 6  150548 537 2 203.44 207  10 1 2.35 2  12713984 131072 7427386.32 7864320  183341 601 7 237.80 248  
O  60 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 54908.0000 74597.5086  1063 5 1 2.00 2  5597 10 1 5.27 5  135170 607 4 258.95 258  9 1 2.41 2  16646144 131072 9479745.71 8388608  167963 671 4 306.50 315  
O  61 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 14392.0000 284602.5570  1317 5 2 2.00 2  3995 5 2 3.03 3  62238 122 6 61.62 57  5 1 1.58 1  7995392 262144 4921986.73 6160384  95031 186 6 93.81 98  
O  62 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 14641.0000 279762.3113  1484 5 2 2.00 3  5339 5 3 3.60 4  84072 167 10 83.32 84  5 1 1.80 2  7733248 262144 5173801.51 5898240  116865 230 10 115.59 117  
O  63 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  4096 12135.0000 337536.0527  1363 5 2 2.00 3  3483 3 1 2.56 3  49524 90 1 48.65 43  4 1 1.30 1  5898240 131072 4032215.71 5373952  82317 154 20 80.62 85  
O  64 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 52963.0000 19334.2522   186 3 1 1.00 1   881 8 1 4.74 5  30327 636 1 199.52 132  9 1 2.37 2  28835840 131072 13563133.25 8388608  38519 700 20 217.62 176  
O  65 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 40214.0000 25463.7688   195 5 1 1.00 1   943 8 1 4.84 5  31145 692 18 198.38 151  8 1 2.41 2  27131904 393216 13178267.17 8388608  39337 756 32 223.51 178  
O  66 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 56786.0000 18032.6137   183 4 1 1.00 1   874 8 1 4.78 5  30427 614 10 198.87 143  8 1 2.31 2  27262976 262144 13382520.55 8388608  38619 678 13 212.19 138  
O  67 OPTIQ_Alltoallv  msg = 8388608 chunk = 131072  1024 37037.0000 27648.0276   240 4 1 1.00 2  1152 8 1 4.80 5  30656 529 4 173.20 140  7 1 2.33 2  17956864 131072 10307459.63 8388608  38873 593 4 206.77 189  
