 48 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 7371.0000 138922.8056  824 3760 3760 1921 6 2 4.56 5 9 1 1.96 1  259 1   118.36 112  381 1   151.93 118  3997696 65536 2827871.67 3538944 
 49 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 17430.0000 117498.5657  1166 6470 6470 2526 9 2 5.55 5 10 1 2.56 2  726 9   288.68 250  982 9   352.48 254  8126464 65536 4372315.68 3932160 
 50 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 16671.0000 122848.0595  1195 6560 6560 2543 9 3 5.49 5 9 1 2.58 2  697 38   288.94 255  953 38   352.86 256  7667712 65536 4448480.88 4456448 
 51 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 14329.0000 142926.9314  1284 6883 6883 2484 9 2 5.36 5 11 1 2.77 2  694 3   281.72 229  950 3   346.36 229  7143424 65536 4266458.49 4456448 
 52 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 24032.0000 85219.7071  633 3169 3169 1187 8 1 5.01 5 11 1 2.67 2  1177 6   394.48 279  1305 6   463.64 346  15335424 65536 9055779.72 8388608 
 53 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 23263.0000 88036.7966  633 3177 3177 1169 8 1 5.02 5 10 1 2.72 2  1197 2   407.36 312  1325 2   465.08 348  15597568 131072 9027965.02 8388608 
 54 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 24604.0000 83238.4978  617 3088 3088 1201 8 1 5.00 5 10 1 2.57 2  1195 4   390.05 288  1323 20   462.63 368  15532032 131072 8085313.49 8388608 
 55 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 25172.0000 81360.2415  1066 5767 5767 1897 8 2 5.41 5 11 1 3.04 3  1009 4   345.64 302  1137 4   405.73 370  9568256 65536 6732061.88 8388608 
 56 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 21950.0000 93302.9613  980 5036 5036 1599 8 1 5.14 5 11 1 3.15 3  1049 1   369.50 312  1177 20   448.56 376  10092544 262144 7218524.71 8388608 
 57 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 24184.0000 84684.0887  962 4909 4909 1586 8 1 5.10 5 11 1 3.10 3  1058 4   367.20 312  1186 4   440.66 387  10027008 131072 6472208.52 7143424 
 58 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 16680.0000 122781.7746  1411 7815 7815 2708 9 3 5.54 5 9 1 2.89 3  622 39   289.25 289  750 66   352.96 366  6815744 65536 5058222.68 6422528 
 59 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 16747.0000 122290.5595  1337 7228 7228 2472 8 3 5.41 5 11 1 2.92 3  664 1   303.46 299  792 6   371.00 358  7012352 65536 5426023.58 6553600 
 60 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 18940.0000 108130.9398  1094 5554 5554 1769 8 1 5.08 5 9 1 3.14 3  880 2   345.07 266  1008 2   431.85 393  8650752 65536 5945532.19 8126464 
 61 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 11862.0000 172652.1666  786 2880 2880 1672 6 2 3.66 3 6 1 1.72 1  304 14   145.78 139  432 14   209.44 223  7536640 65536 5493671.31 7274496 
 62 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 13589.0000 150710.1332  1206 5533 5533 2470 6 3 4.59 5 8 1 2.24 2  390 50   212.09 210  518 50   275.52 285  6553600 65536 4631424.00 6160384 
 63 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 11277.0000 181608.5838  1053 4219 4219 2307 5 1 4.01 5 6 1 1.83 1  412 24   159.14 146  540 44   222.58 213  5898240 65536 3880704.00 5505024 
 64 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  512 25307.0000 20231.5565  107 461 461 227 6 1 4.31 4 6 1 2.03 2  765 2   275.87 250  893 2   319.32 263  18153472 131072 10077087.40 8388608 
 65 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  512 24641.0000 20778.3775  109 475 475 233 6 1 4.36 5 8 1 2.04 2  995 5   258.37 193  1123 13   311.23 256  18087936 851968 9304931.17 8388608 
 66 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  512 26833.0000 19080.9824  107 456 456 241 6 1 4.26 4 7 1 1.89 1  770 2   260.90 254  898 7   302.16 242  18022400 65536 8339158.11 8388608 
 67 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  512 16952.0000 30202.9259  183 848 848 397 6 1 4.63 5 8 1 2.14 2  686 1   190.84 159  814 1   237.84 162  10551296 65536 5127228.24 4456448 
 68 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  512 17942.0000 28536.3951  172 781 781 389 6 1 4.54 5 6 1 2.01 1  812 2   205.32 171  940 2   250.49 181  10551296 131072 5335267.56 5046272 
 69 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  512 19513.0000 26238.9176  169 767 767 371 6 1 4.54 5 7 1 2.07 2  633 1   206.53 160  761 2   255.41 178  10616832 131072 5647576.76 5832704 
 70 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  512 17859.0000 28669.0184  217 1007 1007 452 6 1 4.64 5 8 1 2.23 2  692 2   190.21 137  820 2   239.42 167  8519680 65536 4041823.57 3997696 
 71 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  512 17441.0000 29356.1149  217 983 983 431 6 1 4.53 5 7 1 2.28 2  641 6   191.01 128  769 6   245.24 148  8519680 131072 4468363.64 4456448 
 72 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  512 16971.0000 30169.1120  210 971 971 455 6 1 4.62 5 7 1 2.13 2  660 2   194.48 132  788 2   242.93 161  8585216 131072 4436078.70 4325376 
 73 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 26063.0000 39289.4141  219 1015 1015 451 7 1 4.63 5 8 1 2.25 2  1072 26   345.38 288  1200 26   397.49 319  21102592 65536 10378392.51 8388608 
 74 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 26291.0000 38948.6897  215 989 989 449 7 1 4.60 5 7 1 2.20 2  1081 3   359.04 312  1209 3   405.66 319  21168128 65536 10621176.93 8388608 
 75 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 25552.0000 40075.1409  220 1017 1017 455 7 1 4.62 5 8 1 2.24 2  1172 13   346.49 266  1300 13   389.18 266  21102592 655360 9607995.91 8388608 
 76 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 19968.0000 51282.0513  340 1637 1637 709 7 1 4.81 5 9 1 2.31 2  907 12   278.39 210  1035 12   343.78 262  12648448 65536 5807835.43 4980736 
 77 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 22164.0000 46201.0467  347 1657 1657 693 7 1 4.78 5 9 1 2.39 2  933 1   281.08 209  1061 3   342.65 259  12582912 65536 6205147.43 5505024 
 78 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 22325.0000 45867.8611  322 1525 1525 683 7 1 4.74 5 9 1 2.23 2  801 6   279.51 226  929 14   336.69 256  12582912 393216 6124959.14 5439488 
 79 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 19742.0000 51869.1115  500 2473 2473 952 7 1 4.95 5 8 1 2.60 2  784 1   238.80 176  912 1   296.15 214  8519680 65536 4188679.64 3670016 
 80 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 19459.0000 52623.4647  504 2516 2516 945 7 1 4.99 5 9 1 2.66 2  765 1   251.24 195  893 1   310.57 240  8585216 65536 4541593.20 4063232 
 81 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  1024 18356.0000 55785.5742  492 2427 2427 929 7 1 4.93 5 9 1 2.61 2  772 5   241.68 189  900 6   295.30 234  8585216 65536 4537871.52 4194304 
 82 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 31722.0000 64560.8726  418 2039 2039 889 8 1 4.88 5 11 1 2.29 1  1596 2   440.08 376  1724 10   489.36 384  25755648 131072 9525862.40 8388608 
 83 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 31539.0000 64935.4767  414 2026 2026 878 8 1 4.89 5 9 1 2.31 2  1556 6   451.37 328  1684 8   489.93 384  25690112 327680 10269552.45 8388608 
 84 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 31186.0000 65670.4932  413 2023 2023 861 8 1 4.90 5 9 1 2.35 2  1709 1   469.62 355  1837 7   507.60 384  25755648 65536 10353637.74 8388608 
 85 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 23977.0000 85415.1896  629 3162 3162 1228 8 1 5.03 5 11 1 2.57 2  1216 8   386.91 305  1344 15   463.74 362  15532032 65536 6941150.06 6160384 
 86 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 25665.0000 79797.3894  623 3127 3127 1227 8 1 5.02 5 11 1 2.55 2  1143 3   386.25 309  1271 8   455.85 363  15400960 65536 7284981.76 6881280 
 87 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 24524.0000 83510.0310  621 3099 3099 1201 8 1 4.99 5 9 1 2.58 2  1218 4   397.80 301  1346 4   467.52 366  15597568 65536 8376830.52 7929856 
 88 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 22776.0000 89919.2132  941 4789 4789 1577 8 1 5.09 5 10 1 3.04 3  992 6   361.62 290  1120 11   439.59 374  10289152 65536 5428860.54 5177344 
 89 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 19752.0000 103685.7027  988 5122 5122 1623 8 1 5.18 5 10 1 3.16 3  951 13   366.13 296  1079 13   440.60 379  10027008 65536 6531349.05 7733248 
 90 OPTIQ_Alltoallv msg = 8388608 chunk = 65536  2048 20758.0000 98660.7573  965 4964 4964 1608 8 1 5.14 5 9 1 3.09 3  1003 2   364.67 309  1131 2   439.18 380  10289152 65536 5987069.96 5898240 
