 68 MPI_Alltoallv msg = 8388608 chunk = 65536 512 34544.2000 14821.5909  64 192 192 80 6 0 3.00 3 6 1 2.40 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 69 MPI_Alltoallv msg = 8388608 chunk = 65536 512 34819.9000 14704.2352  64 192 192 80 6 0 3.00 3 6 1 2.40 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 70 MPI_Alltoallv msg = 8388608 chunk = 65536 512 23990.6000 21341.6922  64 192 192 112 6 0 3.00 3 3 1 1.71 2  0 0 0.00 0  0 0 0.00 0  25165824 8388608 8388608.00 16777216
 71 MPI_Alltoallv msg = 8388608 chunk = 65536 512 24024.2000 21311.8439  64 192 192 128 6 0 3.00 3 3 1 1.50 1  0 0 0.00 0  0 0 0.00 0  25165824 8388608 8388608.00 16777216
 72 MPI_Alltoallv msg = 8388608 chunk = 65536 512 24380.8000 21000.1313  64 192 192 112 6 0 3.00 3 3 1 1.71 2  0 0 0.00 0  0 0 0.00 0  25165824 8388608 8388608.00 16777216
 73 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 62259.3000 16447.3420  128 448 448 144 7 0 3.50 4 12 1 3.11 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 74 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 61855.2000 16554.7925  128 448 448 144 7 0 3.50 4 12 1 3.11 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 75 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 61890.0000 16545.4839  128 448 448 144 7 0 3.50 4 12 1 3.11 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 76 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 34338.4000 29820.8420  128 448 448 176 7 0 3.50 4 6 1 2.55 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 77 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 36282.4000 28223.0503  128 448 448 176 7 0 3.50 4 6 1 2.55 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 78 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 36480.4000 28069.8677  128 448 448 176 7 0 3.50 4 6 1 2.55 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 79 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 22351.6000 45813.2751  128 448 448 256 7 0 3.50 4 3 1 1.75 2  0 0 0.00 0  0 0 0.00 0  25165824 8388608 8388608.00 16777216
 80 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 22311.5000 45895.6144  128 448 448 256 7 0 3.50 4 3 1 1.75 2  0 0 0.00 0  0 0 0.00 0  25165824 8388608 8388608.00 16777216
 81 MPI_Alltoallv msg = 8388608 chunk = 65536 1024 23467.9000 43634.0704  128 448 448 256 7 0 3.50 4 3 1 1.75 2  0 0 0.00 0  0 0 0.00 0  25165824 8388608 8388608.00 16777216
 82 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 77860.0000 26303.6219  256 1024 1024 304 8 0 4.00 4 12 1 3.37 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 83 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 77843.6000 26309.1635  256 1024 1024 304 8 0 4.00 4 12 1 3.37 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 84 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 77647.9000 26375.4718  256 1024 1024 304 8 0 4.00 4 12 1 3.37 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 85 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 43358.7000 47233.8885  256 1024 1024 384 8 0 4.00 4 6 1 2.67 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 86 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 43969.8000 46577.4236  256 1024 1024 384 8 0 4.00 4 6 1 2.67 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 87 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 42822.7000 47825.1021  256 1024 1024 384 8 0 4.00 4 6 1 2.67 2  0 0 0.00 0  0 0 0.00 0  16777216 8388608 8388608.00 8388608
 88 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 26673.1000 76781.4765  256 1024 1024 576 8 0 4.00 4 3 1 1.78 2  0 0 0.00 0  0 0 0.00 0  25165824 8388608 8388608.00 16777216
 89 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 25444.3000 80489.5399  256 1024 1024 640 8 0 4.00 4 3 1 1.60 2  0 0 0.00 0  0 0 0.00 0  25165824 8388608 8388608.00 16777216
 90 MPI_Alltoallv msg = 8388608 chunk = 65536 2048 25250.7000 81106.6624  256 1024 1024 576 8 0 4.00 4 3 1 1.78 2  0 0 0.00 0  0 0 0.00 0  25165824 8388608 8388608.00 16777216
